source_id,organization_id,organization_name,source_url,platform,authoritative_level,crawl_status,program_offerings_in_v3_for_org,last_checked_at,notes
VT-LEAGUE-BARRE-BASEBALL-SOFTBALL-BLUESOMBRERO-ALT,org-us-vt-barre-community-baseball-softball,Barre Community Baseball & Softball,https://leagues.bluesombrero.com/barrecommunitybbandsb,Sports Connect / Blue Sombrero,primary,checked_no_qualifying_offering_extracted,0,2026-09-03,User-provided alternate URL. Automated fetch returned access restriction; retain as candidate source.
VT-LEAGUE-BARRE-BASEBALL-SOFTBALL-SPORTSCONNECT,org-us-vt-barre-community-baseball-softball,Barre Community Baseball & Softball,https://leagues.bluesombrero.com/default.aspx?portalid=83092,Sports Connect / Blue Sombrero,primary,checked_no_qualifying_offering_extracted,0,2026-09-03,Canonical organization name on the live site is Barre Community Baseball & Softball. User also referred to it as Barre Area Little League.
VT-LEAGUE-BARRE-YOUTH-SPORTS,org-us-vt-barre-youth-sports-association,Barre Youth Sports Association,https://www.barreyouthsports.com/,SportsEngine,primary,blocked_403,0,2026-09-03,High-value Central Vermont source. | Legacy coverage: Youth sports
VT-MUNI-BRISTOL-MYREC,org-us-vt-bristol-recreation,Bristol Recreation,https://bristolvt.myrec.com/info/activities/default.aspx,MyRec,primary,offering_data_extracted_or_corroborated,9,2026-09-03,Legacy coverage: Municipal youth recreation and sports
VT-MUNI-BURLINGTON-CIVICREC,org-us-vt-burlington-parks-recreation-waterfront,"Burlington Parks, Recreation & Waterfront",https://www.burlingtonvt.gov/1086/Sports,CivicRec,primary,offering_data_extracted_or_corroborated,4,2026-09-03,"Use municipal page for discovery, CivicRec endpoints/catalog for structured program extraction. | Legacy coverage: Municipal youth sports and recreation"
VT-CLUB-CENTRAL-VERMONT-FC,org-us-vt-central-vermont-fc,Central Vermont FC,https://centralvermontfc.org/,Custom Website,primary,offering_data_extracted_or_corroborated,2,2026-09-03,Competitive youth soccer for Central Vermont; current site includes 2026 season/registration information.
VT-LEAGUE-CENTRALVT-LITTLELEAGUE,org-us-vt-central-vermont-little-league,Central Vermont Little League,https://www.cvtll.org/,League Website,primary,blocked_direct_but_indexed_search_success,2,2026-09-03,High-value source for Central Vermont MVP. | Legacy coverage: Youth baseball and softball
VT-HOCKEY-CENTRAL-VERMONT-PIONEERS,org-us-vt-central-vermont-pioneers,Central Vermont Pioneers,https://centralvermontpioneers.org/sledhockey,Custom Website,primary,offering_data_extracted_or_corroborated,1,2026-09-03,Adaptive sled hockey organization serving youth and adults; recreational and travel participation.
VT-HOCKEY-CVYH-BLACKBEAR,org-us-vt-central-vermont-youth-hockey,Central Vermont Youth Hockey,https://blackbearhockey.org/,SportsEngine,primary,blocked_403_direct_but_indexed_elsewhere,1,2026-09-03,"Black Bear Hockey is the public brand of Central Vermont Youth Hockey. Founded in 2022 through merger of BYSA, CVSA, HYHA, and NAHA; serves ages 3-18."
VT-HOCKEY-CVYH-REGISTRATION-2026-27,org-us-vt-central-vermont-youth-hockey,Central Vermont Youth Hockey,https://blackbearhockey.sportngin.com/register/form/975159133,SportsEngine,primary,blocked_403_direct_but_known_registration,1,2026-09-03,2026-2027 player registration source.
